Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2019
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"130270 Manicoré";54907;2,46;395,76;15,21;0,00;35,47;1,24;10086626,01;10571237,26;21729839,33
"130280 Maraã";18186;2,48;630,69;31,30;8,87;6,10;27,62;9212478,11;4190717,20;11469701,39
"130290 Maués";62755;2,88;606,24;29,09;15,08;28,99;4,65;24726744,89;10253444,27;38044439,16
"130300 Nhamundá";20899;0,92;573,68;46,35;1,40;4,65;10,79;9065209,52;4435147,88;11989406,00
"130310 Nova Olinda do Norte";36721;1,90;503,58;26,43;6,10;9,37;15,65;14067118,44;4835634,92;18492027,96
"130320 Novo Airão";18974;4,28;559,97;53,19;16,75;7,50;2,73;3139727,43;4872381,64;10624851,78
"130330 Novo Aripuanã";25237;2,40;510,40;44,50;5,85;7,63;20,06;5701846,10;5359288,56;12880992,17
"130340 Parintins";113168;3,57;469,07;37,48;9,23;33,16;3,00;35486238,48;19872132,11;53083354,33
"130350 Pauini";19329;2,10;618,01;47,69;6,09;12,01;7,26;6787752,67;6157212,98;11945589,46
"130353 Presidente Figueiredo";35352;5,32;961,19;66,22;4,06;2,75;13,01;13566469,15;21342612,26;33979915,75
"130356 Rio Preto da Eva";32577;2,84;529,77;22,18;2,00;12,24;5,13;14138400,39;4955649,66;17258270,21
"130360 Santa Isabel do Rio Negro";24436;1,27;438,27;45,51;4,40;9,83;2,94;6082050,01;5568616,36;10709642,52
"130370 Santo Antônio do Içá";21966;0,00;198,03;54,02;17,24;11,49;0,00;0,00;4350000,00;4350000,00
"130380 São Gabriel da Cachoeira";44816;2,64;412,43;37,39;2,71;11,36;8,53;11205024,28;9140532,61;18483621,22
"130395 São Sebastião do Uatumã";13685;1,87;770,39;47,25;9,60;3,52;17,57;6571013,74;4209657,31;10542824,45
"130400 Silves";9110;3,27;609,34;51,31;5,34;10,41;16,51;5241302,87;2619730,60;5551102,23
"130406 Tabatinga";64488;4,34;382,08;56,34;8,43;7,46;3,55;18003359,89;8137233,96;24639825,60
"130410 Tapauá";17299;2,60;917,74;50,35;24,83;2,32;4,48;9336597,21;9006333,62;15875960,20
"130420 Tefé";60154;5,06;665,20;35,09;3,89;42,18;6,51;31791359,81;13026929,04;40014169,01
"130423 Tonantins";18610;0,89;384,56;70,04;0,00;1,29;1,33;8669562,23;3613620,73;7156699,99
"130426 Uarini";13387;1,85;712,52;35,39;0,01;27,42;3,35;4932639,54;4196483,16;9538483,13
"130430 Urucará";16383;2,36;777,49;37,70;10,04;4,41;13,36;8433821,18;5031563,95;12737600,37
"130440 Urucurituba";22537;0,97;814,32;40,39;0,00;4,34;0,42;9960218,75;3876908,88;18352368,41
"140005 Alto Alegre";15638;2,96;670,65;55,99;0,00;11,40;9,00;10001679,41;2644695,98;10487598,00
"140002 Amajari";12394;2,39;482,81;49,65;0,00;9,79;17,92;2902155,61;2238444,87;5983991,22
"140010 Boa Vista";375374;10,08;657,72;66,10;3,78;13,57;6,50;84350433,29;143363082,64;246890501,35
"140015 Bonfim";12257;3,54;1009,10;37,41;1,59;11,29;36,52;6311086,86;2179738,69;12368533,46
"140017 Cantá";17868;2,99;482,80;51,83;0,00;1,37;31,48;5659298,80;2282590,10;8626677,26
"140020 Caracaraí";21564;3,75;529,47;58,88;0,00;14,47;11,39;6633542,21;4614520,34;11417446,24
"140023 Caroebe";9950;2,77;632,57;40,58;2,38;18,55;22,29;3024998,87;1548191,21;6294049,75
"140028 Iracema";11600;1,40;559,30;48,40;0,00;8,70;30,12;5236658,65;1798978,40;6487874,11
"140030 Mucajaí";17528;2,73;602,00;49,22;9,02;11,02;19,26;6315853,19;3702950,14;10551907,35
"140040 Normandia";11045;1,70;592,55;40,08;0,00;4,46;38,43;4614540,36;1595650,11;6544737,74
"140045 Pacaraima";15580;4,09;644,56;33,92;0,10;8,93;42,20;7971689,39;2032291,59;10042245,88
"140047 Rorainópolis";29533;5,88;618,73;51,13;0,00;15,36;13,26;4951730,73;3673229,06;18273049,66
"140050 São João da Baliza";8052;3,15;772,73;43,68;6,73;8,11;22,89;2464549,89;1785787,08;6222025,83
"140060 São Luiz";7860;2,56;652,42;39,67;0,00;18,64;4,36;2256280,64;1583507,01;5128035,64
"140070 Uiramutã";10325;0,46;975,20;40,11;7,39;7,45;32,56;3776060,25;1479218,16;10068894,55
"150010 Abaetetuba";156292;3,18;327,97;67,73;0,39;20,23;1,79;34376564,79;21756562,00;51259224,99
"150013 Abel Figueiredo";7382;1,90;613,78;29,74;1,51;30,91;1,93;2358207,49;2446899,52;4530898,81
